algorithm,eps,total time
1D,0.4,2.596
1D,0.2,3.856
2D,0.1,1.900
2D,0.3,1.320
1D,0.3,3.076
1D,0.1,8.600
1D,0.5,2.427
2D,0.4,1.355
2D,0.5,1.346
2D,0.2,1.565
